1,Stake,Odds (Decimal)
"Iraq - Ismail, Zaid",100,100
"Iraq - Saadoon, Mustafa",100,100
"Iraq - Putros, Frans",100,100
"Morocco - Aguerd, Nayef",325,150
"Morocco - El Khannous, Bilal",500,26.1
"Paraguay - Bobadilla, Damian",800,34
"Paraguay - Enciso, Julio Cesar",2000,11
"Uzbekistan - Ganiev, Azizjon",600,81
"Uzbekistan - Khusanov, Abduqodir",500,67
"South Africa - Sebelebele, Kamogelo",500,100
"Saudi Arabia - Abdulhamid, Saud",500,100
"Saudi Arabia - AL Ghannam, Khalid",800,23
"Saudi Arabia - AL Juwayr, Musab",800,41
"Panama - Rodriguez, Jose Luis",800,21
"Jordan - AL Arab, Yazan",400,125
"Jordan - Haddad, Ihsan",400,125
"Jordan - Obaid, Saleem",100,91
"Jordan - AL Rosan, Saed",100,91
"Jordan - Abu AL Nadi, Mohammad",100,100
"Jordan - Naseeb, Abdallah",100,100
"Jordan - Abudahab, Husam",100,125
"Jordan - AL Rashdan, Nizar",500,51
"Jordan - Taha, Mohammad",800,34
"Cape Verde - Dias Fernandes, Joao Paulo",500,67
"Cape Verde - Diney, Edilson",500,81
"Cape Verde - Lopes, Roberto",500,100
"Australia - Toure, Mohamed",2000,5
"Colombia - Sanchez, Davinson",500,58
"Uruguay - Gimenez, Jose Maria",100,91
"Uruguay - Pellistri, Facundo",500,34
"Uruguay - De Arrascaeta, Giorgian",2000,17.1
"Iran - Eiri, Danial",100,250
"Iran - Yousefi, Aria",500,41
"Iran - Rezaeian, Ramin",500,81
"Iran - Hosseinzadeh, Amirhossein",800,18.9
"Egypt - Rabia, Ramy",100,150
"Egypt - Abdelmonem, Mohamed",100,150
"Egypt - Hafez, Karim",100,350
"Egypt - Saber, Mahmoud",500,81
"Egypt - Ibrahim, Yasser",500,81
"Egypt - Ashour, Emam",800,26
"Argentina - Tagliafico, Nicolas",100,150
"Mexico - Gallardo, Jesus",100,150
"Mexico - Vasquez, Johan",500,100
"New Zeland - Pijnaker, Nando",100,150
"New Zeland - Smith, Tommy",100,150
"New Zeland - Elliot, Callan",100,150
"New Zeland - McCowatt, Callum",2000,26
"Tunisia - Valery, Yan",500,81
"Tunisia - Gharbi, Ismael",800,20.9
"Sweden - Svensson, Daniel",100,81
"Spain - Ruiz, Fabian",500,51
"South Korea - Kim, Jin-Gyu",800,34
"South Korea - Son, Heung-Min",2000,3.5
"Senegal - Diatta, Krepin",500,67
"Ivory Coast - Konan, Ghislain",100,200
"Ivory Coast - Kossounou, Odilon",100,200
"Ivory Coast - Oulai, Christ",500,100
"Ivory Coast - N Dicka, Evan",400,125
"Ivory Coast - Kessie, Franck",2000,8
"Germany - Tah, Jonathan",100,200
"Ecuador - Pacho, William",250,200
"Ecuador - Ordonez, Joel",250,200
"Ecuador - Estupinan, Pervis",250,200
"Ecuador - Torres, Felix",100,200
"Ecuador - Caicedo, Moises",500,100
"Ecuador - Hincapie, Piero",500,100
"Ecuador - Yeboah, John",2000,11
"Czechia - Chaloupek, Stepan",100,81
"Czechia - Provod, Lukas",500,41
"Belgium - Onana, Amadou",300,150
"Belgium - Theate, Arthur",100,100
"Belgium - Meunier, Thomas",100,250
"Belgium - Mechele, Brandon",100,350
"Curacao - Comenencia, Livano",100,67
"Curacao - Gaari, Jurien",500,100
"Curacao - Floranus, Sherel",500,100
"Scotland - Ferguson, Lewis",500,32
"Scotland - Christie, Ryan",500,16
"England - Anderson, Elliot",100,73
"Brazil - Magalhaes, Gabriel",100,150
"Brazil - Guimaraes, Bruno",100,51
Brazil - Marquinhos,100,150
"Brazil - Cunha, Matheus",800,11
"Brazil - Martinelli, Gabriel",800,21
Brazil - Casemiro,800,41
"Algeria - Belghali, Rafik",500,91
"Algeria - Mandi, Aissa",100,76
"Algeria - Bensebaini, Ramy",500,76
"Algeria - Ait Nouri, Rayan",800,51
"Algeria - Mahrez, Riyad",800,5.5
